租房名称,面积,朝向,户型,楼层比例,位置,小区年代,价格
自如友家·桃林小区·3居室-01卧,3室1厅,朝南,12㎡,6/6,小区距杨高中路站步行约638米,1998,2760
自如友家·芳华路713弄·3居室-03卧,3室1厅,朝南,10.7㎡,4/6,小区距龙阳路站步行约1288米,板楼,2390
自如友家·东兰兴城(东兰新村)·4居室-05卧,4室1厅,朝南,13.86㎡,3/6,小区距东兰路站步行约1055米,1998,2730
自如友家·西南小区·2居室-02卧,2室1厅,朝南,11.1㎡,4/6,小区距曲阳路站步行约379米,1980,3090
自如友家·新高苑(四期)·3居室-03卧,3室1厅,朝南,11.2㎡,8/11,小区距金京路站步行约1313米,板楼,2190
自如友家·顺馨佳园·3居室-03卧,3室1厅,朝南,13.8㎡,4/6,小区距华夏东路站步行约1076米,2010,2090
自如友家·仙霞大郡·3居室-01卧,3室1厅,朝南,14.5㎡,2/6,小区距北新泾站步行约918米,2001,3130
自如友家·锦福公寓·3居室-03卧,3室1厅,朝南,16.1㎡,3/18,小区距中山北路站步行约564米,未知,2960
自如友家·上海阳城·4居室-03卧,4室1厅,朝南,11.5㎡,2/11,小区距外环路站步行约675米,板楼,2260
自如友家·潍坊一村·2居室-01卧,2室1厅,朝南,12㎡,5/5,小区距浦电路站步行约849米,1995,2960
自如友家·妙境一村·3居室-01卧,3室1厅,朝南,12.1㎡,1/6,小区距川沙站步行约183米,1995,2030
自如友家·广中扩大小区·3居室-02卧,3室1厅,朝南,13.81㎡,6/6,小区距大柏树站步行约1237米,1990,2390
自如友家·永翔佳苑·3居室-01卧,3室1厅,朝南,11.2㎡,4/15,小区距南翔站步行约1143米,未知,2090
自如友家·龙柏四村·4居室-02卧,4室1厅,朝南,14.1㎡,4/6,小区距龙柏新村站步行约743米,1996,2890
自如友家·市民新村·3居室-02卧,3室1厅,朝南,9.8㎡,6/6,小区距西藏南路站步行约462米,1958,2690
自如友家·龙柏七村·3居室-02卧,3室1厅,朝南,8.66㎡,2/6,小区距龙柏新村站步行约875米,1997,2390
自如友家·美丽星城·4居室-05卧,4室1厅,朝南,14.2㎡,高层,小区距九亭站步行约1009米,2004,2190
自如友家·贵龙园·4居室-02卧,4室1厅,朝南,12㎡,4/11,小区距上海儿童医学中心站步行约459米,2002,2990
自如友家·康宁坊·4居室-02卧,4室1厅,朝南,12㎡,2/6,小区距上海南站站步行约661米,板楼,2860
自如友家·金杨路750弄·3居室-03卧,3室1厅,朝南,12㎡,3/6,小区距金桥路站步行约1074米,未知,2960
自如友家·祥和公寓(松江)·3居室-01卧,3室1厅,朝南,12.3㎡,1/5,小区距泗泾站步行约292米,板楼,2160
自如友家·川杨新苑(四期)·3居室-03卧,3室1厅,朝南,15.5㎡,5/6,小区距张江路站步行约930米,未知,2190
自如友家·昌五小区·2居室-02卧,2室1厅,朝南,12㎡,2/6,小区距东明路站步行约993米,板楼,2790
自如友家·奥林匹克花园·4居室-05卧,4室1厅,朝南,12㎡,4/5,小区距中春路站步行约935米,2010,2090
自如友家·尼德兰花园(二期)·3居室-03卧,3室1厅,朝南,14.72㎡,7/13,小区距航津路站步行约1171米,未知,2090
自如友家·梧桐城邦(二期)·4居室-03卧,4室1厅,朝南,9.7㎡,2/10,小区距行知路站步行约1483米,2006,2490
